Sheet,Category,Item,Detail
Rules,MCPS-TAG-001,Low,Missing Resource Tags
Rules,MCPS-NAM-001,Low,Poor Resource Naming Convention
Rules,MCPS-DESC-001,Low,Missing Resource Descriptions
Scoring,Range,Score,0-100
Scoring,Grade,A,90-100
Scoring,Grade,B,70-89
Scoring,Grade,C,50-69
Scoring,Grade,D,25-49
Scoring,Grade,F,0-24
Scoring,Deductions,Critical,-20 points each
Scoring,Deductions,High,-10 points each
Scoring,Deductions,Medium,-4 points each
Scoring,Deductions,Low,-1 point each
Commands,Slack,"@Shield scan",Trigger full environment scan
Commands,Slack,"@Shield show findings",List all findings
Commands,Slack,"@Shield show critical",List critical findings only
Commands,Slack,"@Shield explain finding <id>",AI explanation of finding
Commands,Slack,"@Shield explain finding <id> eli5",Beginner-friendly explanation
Commands,Slack,"@Shield quiz me on finding <id>",Generate quiz questions
Commands,Slack,"@Shield generate terraform <id>",Generate Terraform fix
Commands,Slack,"@Shield generate aws-cli <id>",Generate CLI fix
Commands,Slack,"@Shield fix finding <id>",Approve + prepare remediation
Commands,Slack,"@Shield fix all critical",Batch approve critical findings
Commands,Slack,"@Shield approve",Execute approved remediation
Commands,Slack,"@Shield rescan",Re-scan environment
Commands,Slack,"@Shield security score",Show current score
Commands,Slack,"@Shield generate report",Generate executive report
API,Endpoint,GET /health,Server status
API,Endpoint,GET /api/state,Full state (score + findings + remediations)
API,Endpoint,POST /api/scan,Trigger scan (delegates to MCP server)
API,Endpoint,POST /api/chat,AI chat with tool execution
Architecture,App,agent,Slack bot + LLM integration on port -
Architecture,App,api,REST API + dashboard backend on port 7802
Architecture,App,dashboard,Web SPA dashboard
Architecture,App,mcp-server,MCP tool server on port 7801
Architecture,Package,types,Zod schemas + TypeScript types
Architecture,Package,config,Environment config loader
Architecture,Package,logger,Pino logger wrapper
Architecture,Package,shared,Utilities (IDs timers Result)
Architecture,Package,aws-tools,AWS SDK clients scanner remediator
Architecture,Package,security-engine,21 security rules
Architecture,Package,finding-engine,Finding catalog + registry
Architecture,Package,scoring-engine,Score calculator (0-100 A-F)
Architecture,Package,llm,Shared LLM provider adapters
Architecture,Package,terraform-generator,HCL code generation
Architecture,Package,aws-cli-generator,CLI command generation
Architecture,Package,report-generator,Executive report generation
Dev,Command,pnpm install,Install all dependencies
Dev,Command,pnpm build,Build all packages + apps
Dev,Command,pnpm dev,Run all in development mode
Dev,Command,pnpm typecheck,TypeScript strict mode check
Dev,Command,pnpm lint,ESLint check
Dev,Command,pnpm format:check,Prettier check
Dev,Command,pnpm test,Run all tests
Dev,Command,pnpm check,"Typecheck + lint + format + test"
Dev,Command,pnpm --filter <pkg> dev,Run specific app in dev mode
Tech,Stack,Runtime,Node.js 22+ TypeScript
Tech,Stack,Package Manager,pnpm workspaces v11
Tech,Stack,MCP SDK,@modelcontextprotocol/sdk v1
Tech,Stack,HTTP,Fastify v5
Tech,Stack,Validation,Zod
Tech,Stack,Logging,Pino
Tech,Stack,Slack,@slack/bolt (Socket Mode)
Tech,Stack,Cloud SDK,AWS SDK v3
Tech,Stack,Testing,Vitest
